8.984884  	1	0	0	0	0	0	0	0	0	0	
20.005994		1	1	0	0	0	0	0	0	0	0	
23.214514		1	1	1	0	0	0	0	0	0	0	
24.293859		1	1	1	1	0	0	0	0	0	0	
25.329043		1	1	1	1	1	0	0	0	0	0	
25.439593		1	1	1	1	1	1	0	0	0	0	
27.632757		0	1	1	1	1	1	0	0	0	0	
31.143177		1	1	1	1	1	1	0	0	0	0	
33.717525		1	1	1	1	1	1	1	0	0	0	
33.909136		1	1	1	1	0	1	1	0	0	0	
34.123907		1	1	1	1	1	1	1	0	0	0	
35.717283		1	1	1	1	1	1	1	1	0	0	
36.791950		1	0	1	1	1	1	1	1	0	0	
37.257918		1	1	1	1	1	1	1	1	0	0	
39.395032		1	1	1	1	1	1	1	1	1	0	
39.773703		1	1	1	0	1	1	1	1	1	0	
41.428135		1	1	0	0	1	1	1	1	1	0	
45.478525		1	1	0	0	1	1	1	0	1	0	
45.764732		1	1	1	0	1	1	1	0	1	0	
49.859921		1	1	1	1	1	1	1	0	1	0	
53.578363		1	1	1	1	1	1	1	1	1	0	
53.733986		1	1	1	1	1	0	1	1	1	0	
54.826378		1	1	1	1	1	1	1	1	1	0	
54.898055		1	1	1	1	1	1	0	1	1	0	
56.020299		1	1	1	1	0	1	0	1	1	0	
58.056722		1	1	1	1	1	1	0	1	1	0	
58.350715		1	1	0	1	1	1	0	1	1	0	
58.548145		1	1	1	1	1	1	0	1	1	0	
60.002989		0	1	1	1	1	1	0	1	1	0	
60.847621		1	1	1	1	1	1	0	1	1	0	
61.697850		1	1	1	1	1	1	1	1	1	0	
62.719378		1	1	1	0	1	1	1	1	1	0	
64.574167		1	1	1	1	1	1	1	1	1	0	
64.782272		1	1	1	1	1	1	1	1	1	1	
66.376641		2	1	1	1	1	1	1	1	1	1	
66.804818		2	1	1	1	1	1	1	1	0	1	
67.250679		2	0	1	1	1	1	1	1	0	1	
68.798862		2	1	1	1	1	1	1	1	0	1	
69.392952		2	1	1	1	1	1	1	1	1	1	
